number,title,labels,scenario
10488,"When using azd infra generate with PublishAsAzureContainerApp, bicep module and param files are in split locations and point to incorrect file paths","area-integrations,azure",UNMAPPED
10494,"High-level Trace Graph Visualization for Resource Interactions in Aspire Dashboard",area-dashboard,UNMAPPED
10510,"Allow setting SSH flag when using containers",area-orchestrator,UNMAPPED
10534,"When running two AppHosts Aspire.Hosting.Dcp reports a proxy error when both AppHosts have the same .AddContainer",needs-area-label,UNMAPPED
10537,"Optimize Docker Image Creation by Reusing Image Across The Same Project",area-integrations,UNMAPPED
10547,"Support for optional parameters in Aspire",area-app-model,UNMAPPED
10549,"Default .NET web API template does not play well with Aspire service discovery",area-app-model,UNMAPPED
10551,"YARP integration: unable to proxy to an external service running on localhost",area-app-model,UNMAPPED
10559,"Improve Aspire compatibility error message to be more specific and actionable",area-cli,UNMAPPED
10589,"aspire exec - CTRL+C experience",area-cli,UNMAPPED
10590,"aspire exec - Slowness and error when running in home directory",area-cli,UNMAPPED
10608,"Package 'Aspire.AppHost.Sdk 9.3.1' has a package type 'DotnetPlatform' that is not supported by project 'Tickets'",needs-area-label,UNMAPPED
10615,"Pick the last 8 characters of `service.instance.id` rather than the first to show in the UI",area-dashboard,UNMAPPED
10616,"Customize HealthCheck for ExternalServiceResource",area-app-model,UNMAPPED
10621,"Docker availability warnings should be more prominent in `aspire run` output",area-cli,UNMAPPED
10646,"Button to toggle on/off all environment variables visiblity",area-dashboard,UNMAPPED
10650,"[AspireE2E] After using WithReplicas(2), when restarting a resource in the dashboard, the status of another resource changes to waiting, and starting it again does not make it run.",area-app-model,UNMAPPED
10651,"OnResourceReady callback",needs-area-label,UNMAPPED
10653,"Dashboard > Metric > Filters: add ability to filter by clicking the tag box",area-dashboard,UNMAPPED
10654,"Dashboard > Metrics: add color legend to the graph based on a tag",area-dashboard,UNMAPPED
10668,"Unable to disable PGWeb default Healthcheck",needs-area-label,UNMAPPED
10670,"Recognizable Volume Names",area-app-model,UNMAPPED
10672,"Enhance Azure ServiceBus client integration to support deep linking and specific client injection","area-integrations,azure-servicebus",UNMAPPED
10675,"Label containers using a new `WithLabel(s)` API",area-app-model,UNMAPPED
10683,"Support isExternal parameter on WithHttpEndpoint and WithHttpsEndpoint ",area-app-model,UNMAPPED
10685,"Enrich existing Mongo client with telemetry instrumentation",area-integrations,UNMAPPED
10707,"ConfigureCustomDomain should check for empty customDomain parameter","area-integrations,azure",UNMAPPED
10719,"Keeping referenced containers automatically up to date","area-app-model,area-orchestrator",UNMAPPED
10721,"Azure Function url is different from the Aspire defined url","area-integrations,azure,azure-functions",UNMAPPED
10723,"CosmosDB emulator fails","area-integrations,azure-cosmosdb",UNMAPPED
10743,"Feature Proposal: WithEnvFile for Aspire resources",area-app-model,UNMAPPED
10758,"[Proposal] First party support for the Azure Key Vault Emulator","area-integrations,azure-keyvault",UNMAPPED
10770,"YARP extension functions should support `ReferenceExpression`","area-integrations,yarp",UNMAPPED
10774,"[AspireE2E] After installing 10.0 P7, running an existing 9.0/10.0 P6 Aspire project, an exception occurs in the CLI and the dashboard cannot be loaded correctly.","area-dashboard,needs-retriage",UNMAPPED
10804,"CosmosDB Extension and Emulator Support Gremlin API","area-integrations,azure,azure-cosmosdb",UNMAPPED
10840,"Azure SQL database provisioning after initial deployment","area-integrations,azure",UNMAPPED
10841,"Traces Page jittering and jumping around while scrolling (in larger traces)",area-dashboard,UNMAPPED
10871,"Aspire AI Foundry permissions","area-integrations,ai",UNMAPPED
10872,"AI Foundry Integration, deploy/integrate Foundry features: Projects, Agents, Document Intelligence etc.","area-integrations,ai,Azure.Provisioning",UNMAPPED
10876,"Add asynchronous overload for WithCreationScript to support deferred value resolution for MySQL, PostgreSQL, and SQL Server",area-integrations,UNMAPPED
10879,"Gracefully handle connection error between dashboard and app host",area-dashboard,UNMAPPED
10885,"Ability to define Capabilities","area-app-model,area-orchestrator",UNMAPPED
10916,"No table in dynamoDblocal after creating it via ResourceReadyEvent","area-integrations,external",UNMAPPED
10925,"[AspireE2E]This two codes ""parallels@ubuntu-linux-22-04-02-desktop:~$ "" and ""(Type to search)"" are on the same line.",needs-retriage,UNMAPPED
10937,"AI Foundry Local and .NET Aspire in WSL2 / Linux","area-integrations,ai",UNMAPPED
10951,ContainerExecutableResource,area-app-model,UNMAPPED
10953,"Configure AI chat client OpenTelemetry settings","area-integrations,ai",UNMAPPED
10969,"Unclear error if executable has a long arguments",area-orchestrator,UNMAPPED
10970,"Analyzer to detect ReferenceExpressions ending up as regular interpolated strings rather than `ReferenceExpressions`",area-app-model,UNMAPPED
10977,"[Failing test]: DependentResourceWaitsForOpenAIModelResourceWithHealthCheckToBeHealthy","area-integrations,flaky-test,quarantined-test",UNMAPPED
10995,"Containers stuck in ""unhealthy"" state when starting multiple dependencies with wait-for in Aspire 9.3",area-orchestrator,UNMAPPED
10996,"Support either `netstandard` or `net472` on `Microsoft.Extensions.ServiceDiscovery`",area-service-discovery,UNMAPPED
11045,"Optional prefix in `WithOtlpExporter`",area-app-model,UNMAPPED
11071,"Parameterise the Prometheus Data Source in Grafana Dashboards",area-grafana,UNMAPPED
11077,"Lots of logs in a single trace looks noisy in trace graph",area-dashboard,UNMAPPED
11119,"Resource Filter in Structured Logs not respected after restart",area-dashboard,UNMAPPED
11122,"Add a text filter to the console logs page",area-dashboard,UNMAPPED
11128,".NET location cannot be found in Linux on a Clean Template of AppHost Console",area-tooling,UNMAPPED
11151,"Describing resources","area-dashboard,area-app-model",UNMAPPED
11152,"AddAzureBlobClient ignores WithName when creating Health Check",area-integrations,UNMAPPED
11153,"Support for Speech services","area-integrations,azure,ai",UNMAPPED
11166,"Support EF Core Migrations with Aspire’s Environment Configuration without Forcing WebApp Startup","area-integrations,entityframework",UNMAPPED
11184,"Updating Milvus docker image tag is blocked due to a segfault","area-integrations,external",UNMAPPED
11214,"Dashboard not loading ""Internal server error.""",area-azure-aca,UNMAPPED
11215,"Versions after 9.0.2 all create some kind of circular distributed cache dependency in my codebase",needs-area-label,UNMAPPED
11218,"WithAccessKeyAuthentication/WithPasswordAuthentication doesn't work correctly with AsExisting resources in another resource group","area-integrations,azure",UNMAPPED
11238,"Persistent mongodb container recreated on every run","area-integrations,mongodb",UNMAPPED
11256,"Role Assignment for Existing Azure Container Registry Fails Due to Bicep Scope Limitation","area-integrations,azure,azure-container-apps",UNMAPPED
11263,"[AspireE2E] Notification in the Aspire Dashboard does not localize when switching languages in the Dashboard settings.",area-dashboard,UNMAPPED
11274,"DCP names showing up in telemetry without replicas",area-dashboard,UNMAPPED
11277,"Suggestion: Separate Parameters from Active Resources in Aspire Dashboard",area-dashboard,UNMAPPED
11299,"Improve Exception Message for Missing Project Metadata Annotation in ResourceContainerImageBuilder.cs",area-app-model,UNMAPPED
11306,"Log entry spread across multiple lines is reported as one line",area-orchestrator,UNMAPPED
11307,"Support for native Azure Functions deployment in .NET Aspire (serverless model, not only ACA)","area-integrations,azure,azure-functions",UNMAPPED
11337,"PostgreSQL container fails with SCRAM auth when started by Aspire if data volume exists: “password authentication failed for user 'postgres'”","area-integrations,postgres",UNMAPPED
11341,"Dev tunnels integration improvements","area-integrations,devtunnels",UNMAPPED
11343,"Generate and pass an access token to resources consuming a dev tunnel resource","area-integrations,devtunnels",UNMAPPED
11345,"Add more tests for dev tunnel hosting integration","area-integrations,devtunnels",UNMAPPED
11346,"Enable on-demand devtunnel for any resource via a resource command","area-integrations,devtunnels",UNMAPPED
11350,"Enable granting Microsoft tenants & GitHub orgs access to dev tunnels","area-integrations,devtunnels",UNMAPPED
11351,"Enable support in dev tunnels for customizing forwarded headers","area-integrations,devtunnels",UNMAPPED
11353,"Add new `ResourceStartedEvent`",area-app-model,UNMAPPED
11354,"Update dashboard support for uninstrumented peers to support non-leaf spans","area-dashboard,devtunnels",UNMAPPED
11356,"Verify behavior when calling WithReference to same target multiple times with dev tunnels","area-integrations,devtunnels",UNMAPPED
11357,"Support issuing dev tunnel tokens via a resource command","area-integrations,devtunnels",UNMAPPED
11358,"Investigate running concurrent AppHosts with the same devtunnel IDs","area-integrations,devtunnels",UNMAPPED
11366,"VS .NET Aspire Orchestrator Support failes with Can't find program main in the .NET Aspire hosting project",area-tooling,UNMAPPED
11370,"Code block in InteractionService MessageBox overflows","area-dashboard,interaction-service",UNMAPPED
11371,"Using `InteractionSerivce` in `BeforeStart` deadlocks",area-integrations,UNMAPPED
11377,"Support exposing Dashboard via a devtunnel resource","area-app-model,area-integrations,devtunnels",UNMAPPED
11378,"Use community toolkit instead of npm restore task",area-samples,UNMAPPED
11389,"Should DCP fail fast / log warnings if Docker is in Windows container mode?",area-orchestrator,UNMAPPED
11392,"Add InheritedBehaviorAnnotation to control parent-child state/event inheritance",area-app-model,UNMAPPED
11401,"`GetEnvironmentVariableValuesAsync ` doesn't properly resolve `HostUrl`",area-app-model,UNMAPPED
11413,"Docker pull from container registry image fails due to Proxy Usage / docker bug","area-orchestrator,external",UNMAPPED
11428,"ExternalServiceResource should implement IResourceWithEndpoints",area-app-model,UNMAPPED
11430,"Enable restarting the apphost from the aspire cli run command",needs-area-label,UNMAPPED
11434,"Docker Model Runner (DMR) Support",area-app-model,UNMAPPED
11440,"Devtunnel port resources can take a long time to move to ""Running"" state after tunnel is established","area-integrations,devtunnels",UNMAPPED
11447,"Support installing the devtunnel CLI from the dashboard notification","area-integrations,devtunnels",UNMAPPED
11456,"Yarp static files proxying does not support handling 404s","area-integrations,yarp",UNMAPPED
11458,"`aspire update` doesn't fully upgrade sdk",area-cli,UNMAPPED
11519,"Default Azure Kusto SKU",area-integrations,UNMAPPED
11534,"Support configuring HTTPS endpoint in YARP via extension methods","area-integrations,yarp",UNMAPPED
11589,"`aspire update` should fail gracefully when .NET is not found",area-cli,UNMAPPED
11590,"Enhance `aspire update` so it can handle multi-apphost repos like Community Toolkit",area-cli,UNMAPPED
11596,"Investigate using `NuGet.Configuration` package for NuGet.config parsing logic.",area-integrations,UNMAPPED
11602,"Add Custom Icons to built in resources","area-dashboard,area-integrations",UNMAPPED
11603,"Have Mangement UIs add `Manage` links to the resources they manage",area-integrations,UNMAPPED
11604,"Urls column on dashboard is not helpful with multiple endpoints.",area-dashboard,UNMAPPED
11606,"`IProjectMetadata` abstraction should be generalized outside of `Aspire`",area-app-model,UNMAPPED
11608,"Hide dev tunnel authentication expired notification once user is logged in again","area-integrations,devtunnels",UNMAPPED
11636,"Kusto emulator health check fails on MacOS","area-integrations,azure",UNMAPPED
11650,"`aspire update` fails on https://github.com/azure/eshoponazure","area-cli,aarea-cl",UNMAPPED
11655,"Usefulness of `aspire update` is limited when we don't update other dependencies when CPM is in use.",area-cli,UNMAPPED
11658,"Dev tunnels and device code login does not show up in the dashboard","area-integrations,devtunnels",UNMAPPED
11659,"Implement a first time dashboard tour",area-dashboard,UNMAPPED
11676,"Add ACA Container App Jobs extension methods for Event Triggers","area-integrations,azure,area-azure-aca",UNMAPPED
11696,"RabbitMq V7 Client library missing readme",area-integrations,UNMAPPED
11708,"Add possibility to add a SqlFilter to Azure ServiceBus subscription","area-integrations,azure,azure-servicebus",UNMAPPED
11709,"Azure Storage Change Feed","area-integrations,azure,azure-storage",UNMAPPED
11710,"Add Support for Postgres v18 and DataVolume","area-integrations,postgres",UNMAPPED
11716,"Support exposing dashboard OTLP endpoint via a dev tunnel","area-integrations,devtunnels",UNMAPPED
11760,"ResourceUrlAnnotation.DisplayOrder is a field, not a property","area-app-model,breaking-change",UNMAPPED
11764,"Running aspire run in the repo root of dotnet/aspire caues a ""Too many open files"" error",area-cli,UNMAPPED
11769,"Cannot select specific resource instance in standalone dashboard",area-dashboard,UNMAPPED
11773,"Expose `NoLaunchProfile` in `DistributedApplicationOptions` to disable using launchProfile.json permanently",area-app-model,UNMAPPED
11787,"BeforeStartEvent is too early in the pipeline for ACA / AppService resources to process compute resources",area-app-model,UNMAPPED
11794,"Invalid endpoint should fail to start resource",area-app-model,UNMAPPED
11795,"`LogLine` should provide Timestamp as a seperate field, rather than fudge it into the log content","area-app-model,breaking-change",UNMAPPED
11798,"Structured log filter on existence of attribute",area-dashboard,UNMAPPED
11816,"Aspire update rollup",area-cli,UNMAPPED
11837,"Aspire cannot start the same azure function multiple times","area-tooling,azure-functions,vs",UNMAPPED
11882,"Error on running Multiple Instances of the Same Project",needs-area-label,UNMAPPED
11899,"Broken link - https://aspire.dev/ in ""Aspire Roadmap""",needs-area-label,UNMAPPED
11907,"Allow enabling just _some_ (checkbox) resources in traces/... views",needs-area-label,UNMAPPED
11913,"Different failure cross's in CLI",area-cli,UNMAPPED
11948,"Add `WithEnvironmentFromConfiguration` as an API to forward env var",area-app-model,UNMAPPED
11949,"Unable to escape arguments containing spaces when using `aspire exec`",area-cli,UNMAPPED
11967,"Aspire Storage integration does not work due to ;; part in connection string",area-integrations,UNMAPPED
11980,"Aspire Postgres postgres.AddDatabase(""mydatabase"") generates FATAL log entry using .WithCreationScript",area-integrations,UNMAPPED
11981,"Make `WithBindMount` idempotent",area-app-model,UNMAPPED
11983,"Running test project with command `dotnet test` leads to exception: Configuration is missing the 'HostEndpoint' information.",area-integrations,UNMAPPED
11996,"Support underscore '_' character for snake_case in Aspire PostgreSQL database names",area-integrations,UNMAPPED
12004,"Versioning scheme of docker dashboard image",area-dashboard,UNMAPPED
12036,"[tests] Oracle EF Core Tests Hang During Container Initialization","needs-area-label,testing ☑️,oracle",UNMAPPED
12045,"Not clear which resources to start with ExplicitStart() and WaitFor()",area-dashboard,UNMAPPED
12053,"`aspire update` doesn't updating the testing project's dependencies",needs-area-label,UNMAPPED
12054,"`aspire update` is slow due to using `dotnet package search` - using the nuget API directly would be faster",area-cli,UNMAPPED
12063,"Support using Aspire MCP with non-local clients","area-dashboard,ai",UNMAPPED
12064,"[Failing test]: Aspire.Hosting.Yarp.Tests.YarpConfigGeneratorTests.GenerateEnvVariablesConfiguration","needs-area-label,testing ☑️,failing-test",UNMAPPED
12066,"Using Aspire MCP server with VS Code","needs-area-label,ai",UNMAPPED
12100,"Custom Icons configured via WithIconName do not render in Graph View",needs-area-label,UNMAPPED
12154,"Failing test: Aspire.Hosting.Tests.Pipelines.DistributedApplicationPipelineTests.ExecuteAsync_WithLongAndShortBranches_DoesNotBlockShortBranch","needs-area-label,testing ☑️,flaky-test",UNMAPPED
12155,"Failing test: Aspire.Hosting.Tests.Dcp.DcpExecutorTests.PlainExecutable_NoExtensionMode_RunInProcess","area-orchestrator,testing ☑️,flaky-test",UNMAPPED
12179,"Add builder pattern API for multiple blob containers in Aspire.Azure.Storage.Blobs",area-integrations,UNMAPPED
12180,"Add builder pattern API for multiple senders/processors in Aspire.Azure.Messaging.ServiceBus",area-integrations,UNMAPPED
12181,"Add builder pattern API for multiple Event Hubs in Aspire.Azure.Messaging.EventHubs",area-integrations,UNMAPPED
12186,"AllowResourceGroupCreation is ignored","area-integrations,azure",UNMAPPED
12190,"Internal server error: The method or operation is not implemented.",needs-area-label,UNMAPPED
